,level_0,level_1,level_2,level_3,Model Family,BEV,ICE,PHEV
150,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,People's Republic of China (mainland),0.39,0.39,0
151,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,Rest of Asia Pacific,0.39,0.39,0.39
152,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,Rest of Central & Eastern Europe,0.39,0.39,0.39
153,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,Rest of Greater China,0,0.38,0.33
154,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,Rest of Latin America,0.34,0.38,0.33
155,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,Rest of Middle East,0.34,0.38,0.33
156,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,South Korea,0.34,0.38,0.33
157,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,Southeast Asia,0.39,0.39,0
158,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,UK,0.39,0.39,0.39
159,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,United States,0,0.38,0.33
160,Geely,Lynk & co Car,Car,03,Australia,0.34,0.23,0.53
161,Geely,Lynk & co Car,Car,03,Canada,0.34,0.23,0
162,Geely,Lynk & co Car,Car,03,France,0.34,0.23,0
163,Geely,Lynk & co Car,Car,03,Germany,0,0.22,0.28
164,Geely,Lynk & co Car,Car,03,India,0.48000000000000004,0.22,0.28
165,Geely,Lynk & co Car,Car,03,Japan,0,0.22,0.28
166,Geely,Lynk & co Car,Car,03,People's Republic of China (mainland),0.34,0.23,0
167,Geely,Lynk & co Car,Car,03,Rest of Asia Pacific,0.34,0.23,0.53
168,Geely,Lynk & co Car,Car,03,Rest of Central & Eastern Europe,0.34,0.23,0.53
169,Geely,Lynk & co Car,Car,03,Rest of Greater China,0,0.22,0.28
170,Geely,Lynk & co Car,Car,03,Rest of Latin America,0.48000000000000004,0.22,0.28
171,Geely,Lynk & co Car,Car,03,Rest of Middle East,0.48000000000000004,0.22,0.28
172,Geely,Lynk & co Car,Car,03,South Korea,0.48000000000000004,0.22,0.28
173,Geely,Lynk & co Car,Car,03,Southeast Asia,0.34,0.23,0
174,Geely,Lynk & co Car,Car,03,UK,0.34,0.23,0.53
175,Geely,Lynk & co Car,Car,03,United States,0,0.22,0.28
176,Geely,Lynk & co Car,Car,Model family 2,Australia,0.36000000000000004,0.25,0.55
177,Geely,Lynk & co Car,Car,Model family 2,Canada,0.36000000000000004,0.25,0
178,Geely,Lynk & co Car,Car,Model family 2,France,0.36000000000000004,0.25,0
179,Geely,Lynk & co Car,Car,Model family 2,Germany,0,0.24,0.30000000000000004
180,Geely,Lynk & co Car,Car,Model family 2,India,0.5,0.24,0.30000000000000004
181,Geely,Lynk & co Car,Car,Model family 2,Japan,0,0.24,0.30000000000000004
182,Geely,Lynk & co Car,Car,Model family 2,People's Republic of China (mainland),0.36000000000000004,0.25,0
183,Geely,Lynk & co Car,Car,Model family 2,Rest of Asia Pacific,0.36000000000000004,0.25,0.55
184,Geely,Lynk & co Car,Car,Model family 2,Rest of Central & Eastern Europe,0.36000000000000004,0.25,0.55
185,Geely,Lynk & co Car,Car,Model family 2,Rest of Greater China,0,0.24,0.30000000000000004
186,Geely,Lynk & co Car,Car,Model family 2,Rest of Latin America,0.5,0.24,0.30000000000000004
187,Geely,Lynk & co Car,Car,Model family 2,Rest of Middle East,0.5,0.24,0.30000000000000004
188,Geely,Lynk & co Car,Car,Model family 2,South Korea,0.5,0.24,0.30000000000000004
189,Geely,Lynk & co Car,Car,Model family 2,Southeast Asia,0.36000000000000004,0.25,0
190,Geely,Lynk & co Car,Car,Model family 2,UK,0.36000000000000004,0.25,0.55
191,Geely,Lynk & co Car,Car,Model family 2,United States,0,0.24,0.30000000000000004
192,Geely,Lynk & co Car,Car,Model family 3,Australia,0.33000000000000007,0.22,0.52
193,Geely,Lynk & co Car,Car,Model family 3,Canada,0.33000000000000007,0.22,0
194,Geely,Lynk & co Car,Car,Model family 3,France,0.33000000000000007,0.22,0
195,Geely,Lynk & co Car,Car,Model family 3,Germany,0,0.21,0.2700000000000001
196,Geely,Lynk & co Car,Car,Model family 3,India,0.47000000000000003,0.21,0.2700000000000001
